id,source,tier,program,result,season,gpa,gpa_scale,gre_quant,gre_verbal,toefl,undergrad_school,undergrad_tier,undergrad_country,major,major_relevance,intern_count,intern_level,intern_relevance,has_paper,has_research,research_level,gender,nationality,raw_text
85de32befbd9,gradcafe,B,michigan-qfr,rejected,2021 Fall,,,169.0,,,University Of Michigan (Ann Arbor),,,,,,,,,,,,international,University Of Michigan (Ann Arbor) Financial Economics; PhD (F21) Rejected via E-mail on 10 Feb 2021 Undergrad GPA: n/aGRE General (V/Q/W): 0/169/0.00GRE Subject: n/aâ¦ 
4834d76ffa83,gradcafe,D,finance-unknown,interview,2021 Fall,,,,,,London School Of Economics & Political Science (LSE),,,,,,,,,,,,,London School Of Economics & Political Science (LSE) Finance; PhD (F21) Interview via E-mail on 9 Feb 2021 Email to interview with two professors early next week.
dae1a8aff548,gradcafe,D,finance-unknown,accepted,2021 Fall,,,,,,Barcelona Graduate School Of Economics,,,,,,,,,,,,international,Barcelona Graduate School Of Economics Specialized Analysis; International Trade; Finance And Development; Masters (F21) Accepted via E-mail on 3 Feb 2021 Applied out of undegrad. Lots of internships. Published 1 paper.
948a5b3a1fc2,gradcafe,D,,accepted,2021 Fall,,,,,,"California Polytechnic State University, San Luis Obispo",,,,,,,,,,,,us,California Polytechnic State University; San Luis Obispo Quantitative Economics; Masters (F21) Accepted via E-mail on 4 Feb 2021 
6beb434af5d3,gradcafe,D,finance-unknown,interview,2021 Fall,,,,,,London School Of Economics And Political Science (LSE),,,,,,,,,,,,international,London School Of Economics And Political Science (LSE) Finance; PhD (F21) Interview via E-mail on 5 Feb 2021 
381221143e86,gradcafe,B,finance-unknown,accepted,2021 Fall,4.0,4.0,170.0,162.0,,Barcelona Graduate School Of Economics,,,,,,,,,,,,,Barcelona Graduate School Of Economics International Trade; Finance And Development; Masters (F21) Accepted via E-mail on 4 Feb 2021 Undergrad GPA: 4.00GRE General (V/Q/W): 162/170/4.50GRE Subject: n/aâ¦ GPA is from M.A. Econ in U.S. 75% tuition waiver. Will wait for my first choice results - Ph.D. Track.
ff33b88dd799,gradcafe,B,finance-unknown,accepted,2021 Fall,3.55,4.0,168.0,169.0,,Barcelona Graduate School Of Economics (Barcelona GSE) (BGSE),,,,,,,,,,,,,Barcelona Graduate School Of Economics (Barcelona GSE) (BGSE) International Trade; Finance And Development; Masters (F21) Accepted via E-mail on 3 Feb 2021 Undergrad GPA: 3.55GRE General (V/Q/W): 169/168/5.00GRE Subject: n/aâ¦ BA in IR; 3 years of work experience in financial policy.
14554299e468,gradcafe,D,toronto-mmf,waitlisted,2021 Fall,,,,,,University Of Toronto,,,,,,,,,,,,international,University Of Toronto Financial Economics; Masters (F21) Wait listed via E-mail on 2 Feb 2021 
7a273d9bae92,gradcafe,B,toronto-mmf,rejected,2021 Fall,,,167.0,162.0,,University Of Toronto,,,,,,,,,,,,international,University Of Toronto Financial Economics; Masters (F21) Rejected via E-mail on 2 Feb 2021 Undergrad GPA: n/aGRE General (V/Q/W): 162/167/4.00GRE Subject: n/aâ¦ Canadian undergrad; 1 year work experience
346154412a20,gradcafe,B,risk-mgmt-unknown,accepted,2021 Fall,,,170.0,167.0,,London School Of Economics & Political Science (LSE),,,,,,,,,,,,international,London School Of Economics & Political Science (LSE) Quantitative Methods For Risk Management; Masters (F21) Accepted via E-mail on 2 Feb 2021 Undergrad GPA: n/aGRE General (V/Q/W): 167/170/7.00GRE Subject: n/aâ¦ Good luck to everyone else waiting!
e530f6d33ac7,gradcafe,D,finance-unknown,waitlisted,2021 Fall,,,,,,London School Of Economics & Political Science (LSE),,,,,,,,,,,,international,London School Of Economics & Political Science (LSE) Finance; Masters (F21) Wait listed via E-mail on 14 Jan 2021 Submitted application on 8th December. LSE ID on 15th December. Waitlisted on 14th January
e64b00acedcb,gradcafe,D,finance-unknown,accepted,2021 Fall,,,,,,London School Of Economics And Political Science (LSE),,,,,,,,,,,,,London School Of Economics And Political Science (LSE) Finance And Economics; Masters (F21) Accepted via E-mail on 22 Jan 2021 11.17 id - 12.17 provisional offer - 1.22 official offer
0c45ea376db8,gradcafe,B,finance-unknown,rejected,2021 Fall,,,167.0,162.0,,London School Of Economics & Political Science (LSE),,,,,,,,,,,,international,London School Of Economics & Political Science (LSE) Finance And Economics; Masters (F21) Rejected via Website on 22 Jan 2021 Undergrad GPA: n/aGRE General (V/Q/W): 162/167/4.00GRE Subject: n/aâ¦ No email; rejected on the portal
0093fa8ca7c3,gradcafe,D,finance-unknown,,2021 Spring,,,,,,University Of Cambridge,,,,,,,,,,,,,University Of Cambridge Economics And Finance; Masters (S21) Other via Other on 21 Jan 2021 Hi; Has anyone heard back from MPhil Finance and Economics? Haven't seen any updates in quite some time
1cdbdd65cc93,gradcafe,D,risk-mgmt-unknown,accepted,2021 Fall,,,,,,London School Of Economics & Political Science (LSE),,,,,,,,,,,,,London School Of Economics & Political Science (LSE) MSc Quantitative Methods For Risk Management; Masters (F21) Accepted via E-mail on 21 Jan 2021 Applied in December. TD in January.
acdc6616bc75,gradcafe,D,finance-unknown,,2021 Spring,,,,,,University Of Cambridge,,,,,,,,,,,,international,University Of Cambridge Finance And Economics; MPhil; Masters (S21) Other via Other on 18 Jan 2021 Hi;  Has anyone received an offer for MPhil Finance and Economics. I submitted in early December and my application has been at Your application is under review by the Department for more than 6 weeks
1d9e3c5e895b,gradcafe,B,,rejected,2021 Fall,,,170.0,162.0,,London School Of Economics & Political Science (LSE),,,,,,,,,,,,international,London School Of Economics & Political Science (LSE) Financial Mathematics; Masters (F21) Rejected via E-mail on 17 Jan 2021 Undergrad GPA: n/aGRE General (V/Q/W): 162/170/4.50GRE Subject: n/aâ¦ Applied on 3rd Dec; 2020. Application processed and sent to Department on Dec 10th; 2020
7f10d354f62f,gradcafe,D,,rejected,2021 Fall,,,,,,London School Of Economics & Political Science (LSE),,,,,,,,,,,,,London School Of Economics & Political Science (LSE) MSc Financial Statistics; Masters (F21) Rejected via E-mail on 14 Jan 2021 received the decision in 10 days after processing the application.
74b7245281d7,gradcafe,B,finance-unknown,accepted,2021 Fall,3.7,4.0,167.0,155.0,,Stockholm School Of Economics (SSE),,,,,,,,,,,,international,Stockholm School Of Economics (SSE) Finance; Masters (F21) Accepted via E-mail on 22 Dec 2020 Undergrad GPA: 3.70GRE General (V/Q/W): 155/167/3.50GRE Subject: n/aâ¦ 
