id,source,tier,program,result,season,gpa,gpa_scale,gre_quant,gre_verbal,toefl,undergrad_school,undergrad_tier,undergrad_country,major,major_relevance,intern_count,intern_level,intern_relevance,has_paper,has_research,research_level,gender,nationality,raw_text
269edf413dae,1p3a-offer,D,berkeley-mfe,accepted,2024 Spring,,,,,,,,,,,,,,,,,,chinese,46 BERKELEY MFE AD无奖 2024 Spring 2023-04-06 2023-03-20 邮件 0
88e8e9ce6fc2,1p3a-offer,D,berkeley-mfe,waitlisted,2023 Fall,,,,,,,,,,,,,,,,,,chinese,46 BERKELEY Master of Financial Engineering Waiting 2023 Fall 2023-03-15 2023-01-17 邮件 0
83d4df609fd4,1p3a-offer,D,berkeley-mfe,accepted,2023 Spring,,,,,,,,,,,,,,,,,,chinese,46 BERKELEY MFE AD无奖 2023 Spring 2022-10-29 2022-10-07 网申 0
171fea21a006,1p3a-offer,D,berkeley-mfe,waitlisted,2023 Spring,,,,,,,,,,,,,,,,,,chinese,46 BERKELEY MFE Waiting 2023 Spring 2022-08-09 2022-06-26 邮件 0
7fcfd0c67120,1p3a-offer,D,berkeley-mfe,waitlisted,2022 Fall,,,,,,,,,,,,,,,,,,chinese,46 BERKELEY MFE Waiting 2022 Fall 2022-08-09 2022-06-22 邮件 0
8859cdf7e3d2,1p3a-offer,D,berkeley-mfe,accepted,2022 Fall,,,,,,,,,,,,,,,,,,chinese,46 BERKELEY Master of Financial Engineering AD无奖 2022 Fall 2022-04-27 2022-01-13 网申 0
dd34a628c3a2,1p3a-offer,D,berkeley-mfe,accepted,2022 Spring,,,,,,,,,,,,,,,,,,chinese,46 BERKELEY MFE AD无奖 2022 Spring 2021-10-18 2021-09-30 邮件 0
23bc478e2821,1p3a-offer,D,berkeley-mfe,waitlisted,2022 Spring,,,,,,,,,,,,,,,,,,chinese,46 BERKELEY MFE Waiting 2022 Spring 2021-10-06 2021-09-14 网申 0
7712dd52efce,1p3a-offer,D,berkeley-mfe,accepted,2021 Spring,,,,,,,,,,,,,,,,,,chinese,46 BERKELEY MFE AD无奖 2021 Spring 2021-03-09 2020-08-01 网申 0
79eeec7be235,1p3a-offer,D,berkeley-mfe,accepted,2021 Fall,,,,,,,,,,,,,,,,,,chinese,46 BERKELEY MFE AD无奖 2021 Fall 2021-03-09 2021-01-14 网申 0
