tid,thread_subject,program,result,gpa,gpa_scale,bg_type,nationality,intern_desc,has_paper,has_research,courses_note,season,source
1008731,地表最强金工项目串讲---金融工程项目解析,princeton-mfin,accepted,,4,C9,中国大陆,（HK 九大行，美国boutique，大陆top quant fund为佳，三中一华次之）,不明,是,随机微积分+PDE+数值方法+时间序列,23Fall,1p3a-thread
1008731,地表最强金工项目串讲---金融工程项目解析,mit-mfin,accepted,,4,C9,中国大陆,（HK 九大行，美国boutique，大陆top quant fund为佳，三中一华次之）,不明,是,随机微积分+PDE+数值方法+时间序列,23Fall,1p3a-thread
1008731,地表最强金工项目串讲---金融工程项目解析,cmu-mscf,accepted,,4,C9,中国大陆,（HK 九大行，美国boutique，大陆top quant fund为佳，三中一华次之）,不明,是,随机微积分+PDE+数值方法+时间序列,23Fall,1p3a-thread
1008731,地表最强金工项目串讲---金融工程项目解析,columbia-msfe,accepted,,4,C9,中国大陆,（HK 九大行，美国boutique，大陆top quant fund为佳，三中一华次之）,不明,是,随机微积分+PDE+数值方法+时间序列,23Fall,1p3a-thread
1008731,地表最强金工项目串讲---金融工程项目解析,baruch-mfe,accepted,,4,C9,中国大陆,（HK 九大行，美国boutique，大陆top quant fund为佳，三中一华次之）,不明,是,随机微积分+PDE+数值方法+时间序列,23Fall,1p3a-thread
1108507,Princeton/CMU/Baruch MFE今年就业哪家强,princeton-mfin,accepted,,4,海本,中国大陆,的，海本要求稍微会宽松些。今年citadel，twosigma都有，中位数大概是ms/jpm，感兴趣的可以去官网上看他们的LinkedIn。,不明,不明,,25Fall,1p3a-thread
1121150,杜克MSS vs 纽约大学MFE（无身份）,cmu-mscf,accepted,,4,,中国大陆,,不明,不明,,25Fall,1p3a-thread
130640,Columbia MFE vs NYU MathFin vs CMU MSCF 真心求比较,columbia-msfe,accepted,,4,,中国大陆,ship的时候在interview阶段准备特别不足，所以特别希望能有可以对我这方面进行指导的学校。,不明,不明,,25Fall,1p3a-thread
526836,金融工程 Fordham MSQF 和 USC MFE 求比较,usc-msmf,accepted,,4,,中国大陆,，提升自我。,不明,不明,,19Fall,1p3a-thread
634446,offer比较：UC Berkeley MFE vs CMU MSCF,berkeley-mfe,accepted,,4,,中国大陆,,不明,不明,,25Fall,1p3a-thread
782445,金融工程硕士项目申请总结,princeton-mfin,accepted,,4,,中国大陆,经历: 2段买方+1段卖方,不明,是,,25Fall,1p3a-thread
782445,金融工程硕士项目申请总结,columbia-msfe,accepted,,4,,中国大陆,经历: 2段买方+1段卖方,不明,是,,25Fall,1p3a-thread
782445,金融工程硕士项目申请总结,cmu-mscf,accepted,,4,,中国大陆,经历: 2段买方+1段卖方,不明,是,,25Fall,1p3a-thread
782445,金融工程硕士项目申请总结,mit-mfin,accepted,,4,,中国大陆,经历: 2段买方+1段卖方,不明,是,,25Fall,1p3a-thread
782445,金融工程硕士项目申请总结,stanford-mcf,accepted,,4,,中国大陆,经历: 2段买方+1段卖方,不明,是,,25Fall,1p3a-thread
782445,金融工程硕士项目申请总结,uchicago-msfm,accepted,,4,,中国大陆,经历: 2段买方+1段卖方,不明,是,,25Fall,1p3a-thread
782445,金融工程硕士项目申请总结,cornell-mfe,accepted,,4,,中国大陆,经历: 2段买方+1段卖方,不明,是,,25Fall,1p3a-thread
894435,UCLA MFE vs Rutgers MQF,cmu-mscf,rejected,,4,,中国大陆,,不明,不明,,25Fall,1p3a-thread
894435,UCLA MFE vs Rutgers MQF,baruch-mfe,rejected,,4,,中国大陆,,不明,不明,,25Fall,1p3a-thread
894435,UCLA MFE vs Rutgers MQF,bu-msmf,rejected,,4,,中国大陆,,不明,不明,,25Fall,1p3a-thread
894435,UCLA MFE vs Rutgers MQF,ucla-mfe,accepted,,4,,中国大陆,,不明,不明,,25Fall,1p3a-thread
894435,UCLA MFE vs Rutgers MQF,rutgers-mqf,accepted,,4,,中国大陆,,不明,不明,,25Fall,1p3a-thread
